"KEY_ID","ENDC","CMNTS"
"1007 BR2","BFU:Y | B104:LY | B104:LY","BFU:22/jun | B104:13/jun | B104:13/jun"
"1007 HT1 BR2","B104:Y | B104:Y","B104:11/jun | B104:11/jun"
"1143 BR2","B104:LY | B104:LY","B104:09/jun | B104:09/jun"
"12-AV-TSY-0007T","BR_GO_MORRINHOS:Yellow | BR_GO_MORRINHOS:Yellow | BR_GO_MORRINHOS:Yellow | BR_GO_CRISTALINA_FUGINI:Yellow | BR_GO_MORRINHOS:Yellow | BR_SP_Guaíra_PREDILECTA_2024:01:Yellow | BR_GO_MORRINHOS:Yellow | BR_SP_Guaíra_PREDILECTA_2024:01:Yellow | BR_GO_CRISTALINA_AGRITER_2024:01:Yellow | BR_GO_MORRINHOS:Yellow | BR_GO_CRISTALINA_AGRITER_2024:01:Yellow | BR_GO_CRISTALINA_AGRITER_2024:01:Yellow | BR_GO_CRISTALINA_AGRITER_2024:01:Yellow | BR_GO_CRISTALINA_AGRITER_2024:01:Yellow | BR_SP_Guaíra_PREDILECTA_2024:01:Yellow | BR_GO_CRISTALINA_AGRITER_2024:01:Light Yellow | BR_GO_CRISTALINA_FUGINI:Yellow | BR_SP_Guaíra_PREDILECTA_2024:01:Yellow | BR_GO_CRISTALINA_FUGINI:Yellow | BR_GO_CRISTALINA_FUGINI:Yellow | BR_GO_CRISTALINA_FUGINI:Yellow | BR_GO_CRISTALINA_FUGINI:Yellow","BR_GO_GOIATUBA_HEINZ_2024:01:Aguentou muito, muito bom no geral, tf  | BR_GO_CRISTALINA_FUGINI:Cs  | BR_GO_CRISTALINA_AGRITER_2024:01:Good plant  | BR_GO_GOIATUBA_HEINZ_2024:01:Muito sadio, espiga pesada, parcela boa"
"14-AV-TSY-0124T","BR_SP_Guaíra_PREDILECTA_2024:01:Light Yellow | BR_SP_Guaíra_PREDILECTA_2024:01:Light Yellow | BR_SP_Guaíra_PREDILECTA_2024:01:Light Yellow","BR_GO_CRISTALINA_FUGINI:Muito cs  | BR_GO_GOIATUBA_HEINZ_2024:01:Mais sintoma foliar cs | BR_GO_GOIATUBA_HEINZ_2024:01:Sentiu | BR_GO_CRISTALINA_AGRITER_2024:01:Cs "
"206 BR2","B104:Y | BFU:LY | B104:LY","B104:15/jun | B104:15/jun | BFU:27/jun"
"310V2","E203:Y | A201:LY | P1FU:LY | P1MO:LY | P1AG:LY | E105:LY | E203:Y | E105:LY","P1AG:02/02 7gs  | A201:braquitico  | P1MO:6gs  | P1FU:gs bastante tbm  | E105:14/jun | A201:17/jan | A201:strong quality low ear  | E203:25/jan | E203:12 gs | A201:thicker pericarp crappy plant  | P1AG:06/fev | A201:17/01 | E203:9 gs | E105:14/jun | E203:21/jan"
"310V3","P1FU:LY | E203:Y | E105:LY | E203:Y | P1MO:LY | P1AG:LY | A201:LY | E105:LY","A201:17/jan | A201:strong in quality; bad plant ; short plant  | A201:17/01 | P1AG:02/02 curta, calibre, 3GS  | P1AG:08/fev | E105:14/jun | E203:21/jan | E105:14/jun | E203:espiga um pouco mais curta que outras 8 gs | E203:25/jan | P1MO:4gs  | E203:11 gs | A201:braquitico  | P1FU:muito gs  | A201:very good quality, plant looks like temperate type, Specialty for bonduelle"
"358V1","E203:Y | E203:Y","E203:23/jan | E203:23/jan | E203:0 gs "
"358V2","E203:Y | E203:Y","E203:23/jan | E203:23/jan"
"358V3","E203:Y | E203:Y","E203:espiga mais curta e entrou água  | E203:25/jan | E203:25/jan"
"358V4","E203:Y | E203:Y","E203:25/jan | E203:23/jan"
"AV-TSY-0302","EQV:LY | EQV:LY | EQV:LY","EQV:planta alta ,  | EQV:acamado, colmo frágil  | EQV:planta alta , pouco de phaeospheria  | EQV:planta alta , pouco de phaeosferia  | EQV:pouco de phaeosphaeira e planta média  | EQV:colmo muito frágil "
"AV-TSY-0333","EQV:LY | EQV:LY | EQV:LY","EQV:good PHAES, entrou água, grãos brancos mal formados  | EQV:Pouco de phaeosphaeira | EQV:planta alta  | EQV:pouco de phaeosphaeira"
"AV-TSY-0411","P3MO:LY | P3FU:LY | P3OD:LY | P3MO:LY | P3FU:LY | P3HE:LY | P3OD:LY | B107:LY | B107:LY | P3HE:LY","P3MO:20/jun | P3MO:espigas perfeitas | P3FU:30/nov | B107:11/jun | P3OD:03/jul | P3MO:26/nov | P3OD:03/jul | P3FU:25/jun | P3FU:30/nov | P3MO:26/nov | P3FU:25/jun | B107:11/jun | P3MO:20/jun | P3SF:data"
"AV-TSY-0473","P2FU:Y | P2MO:LY | B106:Y | P2FU:Y | B106:Y | P2MO:LY | P2HE:Y | P2HE:Y","B106:15/jan | P2OD:07/jul | P2FU:26/jun | P2MO:27/jun | P2MO:27/jun | P2FU:26/jun | B106:15/jan | P2OD:07/jul"
